Image,Area,1,2,3,4,5,6,7,8,9,10,11,12
fractal_hilbert_curve.png,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
fractal_julia.jpg,5.6114795,0.290768,0.413079,0.484171,0.533104,0.549208,0.544529,0.580865,0.541432,0.551163,0.539262,0.501667,0.455231
fractal_koch.jpg,7.3521115,0.2392,0.342811,0.422344,0.51171,0.56627,0.684943,0.732089,0.809991,0.922906,0.856025,0.910062,0.946721
fractal_levy_c_curve.png,8.256581,0.469311,0.633623,0.7704,0.822169,0.859238,0.839489,0.859865,0.812972,0.717497,0.715991,0.663399,0.654565
fractal_mandelbrot.jpg,2.7521549999999997,0.141026,0.187097,0.229319,0.249726,0.257864,0.303336,0.267,0.294302,0.265555,0.247321,0.254844,0.250556
fractal_peano_curve.png,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
fractal_pythagoras_tree.png,8.364219,0.465383,0.650576,0.766885,0.800096,0.831827,0.85782,0.787033,0.764347,0.800429,0.713453,0.837554,0.643015
fractal_sierpinski.png,6.143257500000001,0.2285,0.373707,0.504009,0.559671,0.618984,0.63544,0.641534,0.681645,0.62245,0.562028,0.540616,0.577847
fractal_vicsek.png,4.394127999999999,0.237412,0.347245,0.365818,0.471419,0.487287,0.52158,0.452089,0.433627,0.404263,0.205011,0.440695,0.292776
fuegos_artificiales.jpg,3.5842889999999996,0.176062,0.191937,0.214497,0.245142,0.282917,0.324046,0.347188,0.392921,0.406847,0.41132,0.464854,0.429178
galaxia.jpg,3.2640505000000006,0.070593,0.108829,0.145537,0.176006,0.215976,0.271772,0.30736,0.36537,0.402025,0.443628,0.506932,0.570638
lago.jpg,2.54379,0.108845,0.154426,0.187155,0.193241,0.204578,0.226314,0.235208,0.271676,0.279229,0.263242,0.311466,0.325665
nebulosa.jpg,4.1806054999999995,0.097033,0.149516,0.199693,0.242922,0.291191,0.362087,0.403134,0.47457,0.497795,0.532568,0.623775,0.709676
nubes.jpg,6.5140225,0.261473,0.411483,0.511932,0.574812,0.624862,0.714295,0.677283,0.659932,0.661084,0.617384,0.641211,0.578016
oceano_profundo.jpg,3.2720380000000002,0.126031,0.183599,0.212562,0.230745,0.25513,0.303491,0.320785,0.347921,0.355518,0.365629,0.412473,0.442339
paisaje_montañoso.jpg,3.2710125000000003,0.16419,0.222349,0.249921,0.280896,0.311295,0.300195,0.314057,0.341673,0.348317,0.339279,0.307772,0.346327
persona_corriendo.png,5.590795499999999,0.217802,0.324697,0.395657,0.428426,0.467663,0.546907,0.549397,0.607531,0.603362,0.586204,0.670652,0.602797
playa.jpg,4.6912345,0.184786,0.277086,0.33609,0.357468,0.391169,0.446253,0.432938,0.450314,0.526453,0.539977,0.550423,0.581341
rio.jpg,3.2854954999999997,0.148423,0.203194,0.233833,0.256676,0.276882,0.302041,0.320221,0.347315,0.34479,0.33717,0.384852,0.40862
